age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible (scholarship),student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
24,Male,No,No,In-state,3.56,800.0,25,0,2,Business,Full-time,15,Regular,Fall,<$30k,Yes,Yes,7321,No,1.97,58,2,2,92.9,34,3,4,2,1,On-campus,No,9,1,Yes
21,Female,Yes,No,Out-of-state,3.34,1153.0,31,2,2,Computer Science,Full-time,18,Early Decision,Fall,$100k+,Yes,No,2145,No,1.89,36,2,0,79.8,10,4,2,2,3,Off-campus,No,4,25,Yes
21,Non-binary,No,No,International,3.28,1133.0,24,3,3,Health Sciences,Part-time,6,Regular,Fall,$60k-$100k,No,No,73,No,2.89,19,0,0,47.8,0,5,3,0,1,Commuter,No,7,3,No
17,Female,No,No,In-state,3.35,924.0,30,2,2,Engineering,Part-time,3,Transfer,Fall,$60k-$100k,Yes,Yes,12611,No,2.78,32,0,0,61.4,12,1,1,3,1,Commuter,No,4,7,Yes
20,Male,No,No,In-state,2.82,1153.0,27,5,6,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,Yes,No,14811,No,2.37,60,0,0,88.0,0,7,0,2,1,Off-campus,No,3,36,Yes
18,Male,No,No,In-state,2.43,1217.0,18,3,3,Education,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,1520,No,2.71,43,1,0,87.3,8,4,2,0,0,Commuter,No,15,17,No
17,Female,Yes,No,Out-of-state,3.38,1267.0,23,3,2,Health Sciences,Full-time,15,Regular,Fall,<$30k,Yes,No,12049,No,3.57,12,1,0,83.4,14,6,1,0,1,On-campus,Yes,4,14,No
17,Male,No,No,In-state,4.0,1370.0,25,1,5,Computer Science,Full-time,18,Regular,Fall,<$30k,Yes,No,16312,Yes,2.03,44,1,0,80.8,5,5,2,0,2,At home,No,5,12,No
22,Female,No,Yes,In-state,2.73,1159.0,23,3,0,Engineering,Part-time,3,Regular,Spring,$30k-$60k,Yes,No,3038,No,3.66,23,1,0,81.5,23,3,1,0,1,At home,No,21,5,No
22,Male,No,No,In-state,3.65,1362.0,19,1,2,Computer Science,Part-time,9,Regular,Fall,<$30k,No,No,2749,No,2.09,120,0,2,76.9,25,4,0,2,1,At home,No,5,19,No
17,Male,Yes,No,In-state,4.0,1381.0,19,3,3,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,Yes,Yes,11762,Yes,1.98,86,0,1,80.8,2,1,0,3,0,Commuter,No,2,1,Yes
17,Female,Yes,No,In-state,3.68,1307.0,24,5,2,Arts & Sciences,Full-time,12,Early Decision,Fall,$100k+,No,Yes,15069,No,2.98,5,0,1,98.1,1,3,1,3,5,Off-campus,No,63,4,Yes
17,Male,No,No,In-state,3.29,1413.0,19,3,2,Business,Full-time,12,Regular,Spring,$60k-$100k,Yes,Yes,4544,No,2.89,22,3,0,88.2,28,1,5,1,2,On-campus,No,0,12,No
20,Female,Yes,No,Out-of-state,3.57,1194.0,18,2,3,Education,Full-time,15,Regular,Spring,$30k-$60k,No,No,21360,No,4.0,42,1,0,69.0,18,5,5,5,1,Commuter,No,4,20,No
17,Female,No,No,In-state,3.25,1216.0,22,2,3,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,No,No,33405,No,0.98,28,0,0,98.3,1,6,0,2,3,On-campus,No,5,15,Yes
21,Male,Yes,No,Out-of-state,3.38,1202.0,17,0,5,Engineering,Full-time,12,Regular,Spring,$60k-$100k,Yes,Yes,35828,No,2.9,1,1,0,79.8,18,3,3,3,3,Off-campus,No,4,28,No
19,Male,Yes,No,In-state,3.13,1183.0,20,1,2,Business,Full-time,18,Regular,Fall,$30k-$60k,No,No,16856,Yes,2.94,13,0,0,96.2,7,1,5,1,2,On-campus,No,14,5,Yes
17,Male,Yes,No,In-state,3.1,1481.0,21,4,1,Business,Full-time,18,Regular,Spring,$30k-$60k,Yes,Yes,5478,Yes,3.08,15,0,0,77.7,6,3,1,2,0,Commuter,No,53,3,No
23,Female,No,No,In-state,3.55,1153.0,17,3,2,Business,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,613,No,2.53,41,2,0,82.4,3,4,3,0,2,At home,No,44,16,Yes
17,Female,No,No,International,3.74,1350.0,21,5,2,Computer Science,Full-time,15,Regular,Spring,$60k-$100k,No,No,17926,No,3.28,9,2,1,71.0,42,5,2,0,3,On-campus,No,24,1,No
17,Male,No,No,International,3.81,1153.0,23,3,2,Engineering,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,5333,No,2.43,30,1,0,95.4,28,3,1,0,1,On-campus,No,3,4,No
17,Male,No,No,In-state,2.9,1248.0,27,1,4,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,1340,Yes,1.96,60,2,0,83.0,0,6,1,2,2,On-campus,No,13,10,Yes
20,Female,Yes,Yes,In-state,4.0,1104.0,21,4,1,Health Sciences,Full-time,12,Early Decision,Fall,$30k-$60k,Yes,Yes,13372,No,4.0,75,3,2,93.4,6,4,3,2,1,On-campus,Yes,9,14,Yes
19,Female,Yes,No,International,3.02,1370.0,19,2,2,Computer Science,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,4287,No,2.26,60,1,0,85.0,3,2,1,2,4,On-campus,No,0,16,No
22,Female,Yes,No,In-state,3.43,1173.0,25,0,0,Computer Science,Full-time,12,Regular,Spring,<$30k,Yes,Yes,7054,No,4.0,1,0,0,87.2,15,7,1,4,2,Off-campus,No,21,6,No
23,Female,No,No,In-state,2.85,1244.0,16,3,6,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,313,No,4.0,34,2,0,70.1,2,2,3,2,2,On-campus,No,7,4,No
27,Female,No,No,In-state,3.2,1185.0,24,3,5,Social Sciences,Full-time,12,Early Decision,Fall,$60k-$100k,Yes,No,2626,No,4.0,23,1,1,66.1,8,4,4,4,2,Off-campus,No,15,10,No
19,Female,Yes,No,In-state,3.4,957.0,22,3,2,Business,Part-time,6,Early Decision,Fall,$60k-$100k,Yes,Yes,5943,No,3.91,30,1,1,76.0,20,8,3,3,1,On-campus,Yes,4,1,No
19,Male,No,No,In-state,3.5,994.0,17,5,3,Business,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,1328,Yes,1.85,73,0,0,46.4,54,5,3,1,0,On-campus,No,10,1,Yes
21,Male,No,No,Out-of-state,2.61,1158.0,23,3,2,Computer Science,Full-time,15,Regular,Fall,$100k+,No,No,5755,Yes,2.91,20,0,0,71.2,9,1,1,2,2,Off-campus,No,2,16,No
20,Female,No,No,In-state,2.67,1359.0,25,3,2,Computer Science,Full-time,18,Early Decision,Spring,$60k-$100k,Yes,No,1436,No,1.88,42,2,0,95.0,22,3,0,1,1,Commuter,No,25,10,Yes
21,Male,Yes,Yes,In-state,3.1,1365.0,22,3,2,Arts & Sciences,Part-time,3,Early Decision,Fall,$60k-$100k,Yes,Yes,8027,No,3.81,6,0,1,77.3,40,6,1,1,0,At home,No,17,6,Yes
25,Male,No,No,Out-of-state,3.15,979.0,16,2,4,Social Sciences,Full-time,18,Transfer,Fall,$100k+,Yes,Yes,7505,No,2.72,80,0,2,81.5,2,5,2,0,1,On-campus,No,18,0,No
20,Female,No,No,In-state,3.52,1214.0,19,4,5,Engineering,Full-time,15,Early Decision,Fall,$30k-$60k,No,No,5980,No,2.62,107,0,1,91.6,11,6,1,3,1,Off-campus,No,4,11,No
23,Female,No,No,In-state,3.5,800.0,25,5,4,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,29189,No,2.52,16,1,0,79.2,0,2,4,3,1,Off-campus,No,49,3,No
18,Female,No,No,In-state,3.82,1153.0,16,5,3,Business,Part-time,9,Transfer,Fall,<$30k,Yes,No,30295,No,3.17,67,0,1,83.3,4,3,3,1,2,On-campus,No,6,0,No
22,Male,No,Yes,In-state,4.0,1168.0,19,6,4,Health Sciences,Full-time,12,Regular,Spring,<$30k,No,Yes,58125,No,4.0,120,0,0,89.5,6,5,3,2,1,Off-campus,No,18,12,No
19,Male,No,No,In-state,3.4,1004.0,28,4,1,Education,Full-time,15,Regular,Spring,$60k-$100k,No,No,10905,Yes,3.51,120,1,1,69.4,0,3,1,2,2,Commuter,No,26,36,Yes
20,Female,No,No,In-state,4.0,854.0,20,4,3,Arts & Sciences,Full-time,15,Regular,Spring,$100k+,Yes,No,25722,No,3.22,120,0,0,93.7,12,4,1,0,2,At home,No,81,9,No
25,Male,Yes,No,In-state,2.62,1113.0,24,4,0,Education,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,15754,Yes,3.33,61,1,0,98.7,19,2,0,1,3,Commuter,No,23,17,No
23,Male,No,No,In-state,3.8,1074.0,31,1,1,Business,Full-time,18,Regular,Spring,$100k+,Yes,No,44546,Yes,3.56,80,1,0,84.4,2,5,1,0,4,Off-campus,Yes,0,10,No
20,Male,No,No,In-state,2.97,1112.0,28,0,6,Social Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,9506,Yes,4.0,61,0,3,81.3,8,1,2,4,2,At home,No,0,1,No
18,Female,No,No,In-state,3.65,1057.0,23,7,1,Arts & Sciences,Full-time,15,Early Decision,Fall,$60k-$100k,No,Yes,3985,No,4.0,4,0,0,67.0,0,4,3,3,1,On-campus,No,12,14,No
20,Male,No,No,In-state,3.54,1189.0,24,4,3,Health Sciences,Part-time,6,Regular,Spring,$100k+,No,Yes,8785,No,2.17,24,0,2,70.3,6,3,3,1,2,On-campus,No,24,5,No
17,Male,Yes,No,Out-of-state,3.82,1228.0,27,3,1,Education,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,42,No,4.0,114,0,0,66.4,5,2,3,2,0,On-campus,No,1,1,No
17,Female,No,No,In-state,2.97,1198.0,23,1,1,Computer Science,Part-time,6,Regular,Fall,$60k-$100k,Yes,No,75430,Yes,2.6,4,0,1,92.0,13,2,2,0,2,On-campus,No,5,3,No
25,Female,Yes,No,International,3.23,1149.0,29,4,1,Education,Full-time,12,Regular,Spring,$60k-$100k,Yes,Yes,2128,Yes,1.38,86,1,1,62.6,6,8,2,2,2,On-campus,No,73,14,Yes
17,Male,No,No,In-state,3.1,800.0,25,2,1,Education,Full-time,18,Regular,Spring,$100k+,Yes,Yes,9701,Yes,3.07,47,3,1,79.1,25,3,0,2,0,On-campus,No,2,30,Yes
18,Female,No,No,In-state,2.87,995.0,25,5,2,Social Sciences,Part-time,9,Transfer,Fall,$30k-$60k,Yes,No,13655,No,4.0,3,1,0,69.9,1,5,4,2,0,At home,No,0,1,No
19,Female,No,No,Out-of-state,3.33,1084.0,26,3,2,Health Sciences,Full-time,18,Regular,Fall,$100k+,Yes,No,24197,No,3.41,76,2,0,91.5,18,2,4,0,1,On-campus,No,0,1,No
21,Female,Yes,No,International,3.15,1251.0,22,2,4,Engineering,Full-time,15,Regular,Fall,$30k-$60k,Yes,Yes,42825,No,1.79,48,1,1,98.2,3,2,2,1,1,At home,No,6,10,No
18,Female,Yes,No,In-state,2.77,1263.0,25,2,0,Engineering,Full-time,12,Regular,Fall,$60k-$100k,Yes,Yes,20841,Yes,3.0,50,1,0,73.9,5,4,3,0,0,Off-campus,No,29,11,No
17,Female,No,No,Out-of-state,2.64,1246.0,23,4,3,Business,Part-time,3,Regular,Spring,$60k-$100k,Yes,No,16646,Yes,2.49,27,0,0,87.8,22,4,2,0,3,On-campus,Yes,5,4,No
18,Male,No,No,In-state,2.35,1177.0,24,1,1,Education,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,6604,No,3.27,13,0,0,86.3,1,7,3,2,2,On-campus,No,2,16,No
17,Female,No,No,In-state,3.76,1023.0,28,3,2,Social Sciences,Full-time,15,Regular,Spring,<$30k,Yes,Yes,16252,No,2.31,22,0,0,95.3,12,2,0,0,1,On-campus,No,3,2,Yes
24,Female,No,No,Out-of-state,3.76,1105.0,26,1,1,Health Sciences,Full-time,12,Regular,Fall,$30k-$60k,Yes,No,2749,No,3.66,28,1,2,78.5,0,3,2,1,3,On-campus,No,31,20,No
17,Male,No,No,In-state,4.0,1158.0,27,8,3,Arts & Sciences,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,7355,No,3.07,3,0,2,74.7,9,3,3,4,2,Commuter,No,11,14,No
18,Male,No,No,In-state,2.0,1054.0,21,3,2,Health Sciences,Full-time,18,Regular,Fall,<$30k,No,No,16317,No,2.54,16,0,0,79.8,20,4,1,0,0,Off-campus,No,29,7,No
17,Male,No,No,In-state,2.74,1000.0,21,1,1,Engineering,Full-time,15,Regular,Fall,$100k+,Yes,No,2787,Yes,2.87,23,0,1,86.1,27,5,2,0,3,Commuter,No,5,4,No
18,Female,Yes,No,Out-of-state,4.0,1001.0,23,2,1,Education,Part-time,6,Regular,Fall,$60k-$100k,Yes,No,20218,No,4.0,101,0,1,87.3,5,4,4,3,1,Commuter,No,6,0,No
17,Male,Yes,Yes,In-state,3.1,1049.0,18,5,2,Business,Full-time,18,Regular,Fall,<$30k,Yes,No,11661,Yes,2.38,44,1,0,60.5,60,3,2,1,2,Commuter,No,14,38,Yes
20,Male,No,No,In-state,2.5,948.0,21,3,1,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,Yes,Yes,19969,Yes,3.1,8,0,1,93.1,1,4,0,0,2,On-campus,No,25,4,No
17,Male,Yes,No,In-state,3.1,1110.0,25,3,1,Computer Science,Full-time,12,Regular,Fall,$100k+,No,No,4151,Yes,4.0,80,0,0,74.2,18,2,2,4,2,Off-campus,No,27,12,No
21,Male,No,No,In-state,3.92,1206.0,23,3,3,Education,Full-time,12,Regular,Summer,$100k+,Yes,No,37513,No,4.0,56,1,0,79.8,6,2,2,1,2,Off-campus,No,0,21,No
17,Female,No,No,In-state,3.05,1090.0,22,2,3,Education,Part-time,3,Early Decision,Spring,<$30k,Yes,No,13862,Yes,3.31,2,0,0,85.1,14,8,2,1,2,Off-campus,No,5,1,Yes
19,Female,Yes,No,In-state,2.88,1218.0,19,1,1,Business,Full-time,12,Regular,Fall,$60k-$100k,No,No,3050,No,2.31,19,0,3,60.3,0,5,3,1,2,At home,No,1,1,Yes
22,Female,Yes,No,In-state,3.03,945.0,25,2,2,Engineering,Full-time,12,Transfer,Fall,<$30k,Yes,No,5030,Yes,3.28,7,0,1,76.5,4,4,3,1,3,Off-campus,No,7,2,Yes
21,Female,No,No,In-state,2.86,1153.0,25,3,4,Business,Full-time,15,Regular,Spring,$100k+,Yes,No,9367,No,2.03,15,1,0,80.6,41,4,1,0,0,Off-campus,No,28,14,No
17,Male,No,No,Out-of-state,3.13,1019.0,24,3,0,Business,Full-time,12,Regular,Fall,$100k+,Yes,No,9085,Yes,3.05,15,1,0,46.0,0,2,0,0,2,On-campus,Yes,0,2,No
21,Male,No,No,International,2.69,1153.0,21,5,5,Business,Full-time,18,Regular,Spring,$30k-$60k,No,Yes,52499,No,2.9,9,1,0,82.3,0,8,3,1,0,On-campus,No,30,7,No
19,Male,No,No,In-state,3.59,1358.0,18,2,4,Computer Science,Full-time,15,Regular,Fall,$30k-$60k,Yes,No,15773,No,2.91,13,2,1,84.1,11,6,2,1,2,Off-campus,Yes,55,20,No
18,Female,Yes,No,In-state,2.83,1220.0,25,1,1,Computer Science,Full-time,18,Regular,Spring,$60k-$100k,Yes,No,9513,Yes,2.88,67,0,0,79.3,1,4,2,0,2,On-campus,No,13,22,No
21,Female,No,No,In-state,3.2,898.0,23,8,1,Health Sciences,Full-time,18,Regular,Spring,$30k-$60k,Yes,Yes,734,No,3.83,35,2,0,86.3,0,5,1,0,1,On-campus,No,9,20,No
18,Female,No,No,Out-of-state,3.58,830.0,24,3,3,Business,Full-time,12,Regular,Fall,<$30k,Yes,No,7252,Yes,3.1,81,0,0,79.8,3,3,0,4,7,On-campus,No,8,9,No
17,Female,No,No,In-state,2.85,1187.0,17,3,3,Arts & Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,17992,No,2.52,1,2,1,58.2,0,4,2,0,1,On-campus,No,5,15,Yes
19,Female,No,No,Out-of-state,3.22,1153.0,17,1,2,Engineering,Part-time,6,Early Decision,Spring,$100k+,Yes,No,41859,No,2.75,25,1,0,92.0,10,3,0,1,0,On-campus,No,60,19,Yes
17,Female,No,No,In-state,3.12,945.0,28,3,2,Computer Science,Full-time,12,Regular,Summer,$30k-$60k,Yes,No,5135,Yes,2.78,47,0,1,79.8,15,6,2,1,1,On-campus,No,18,2,No
17,Female,Yes,No,In-state,2.75,1010.0,20,4,6,Arts & Sciences,Full-time,12,Transfer,Fall,<$30k,No,No,10292,No,3.44,120,2,0,73.5,6,7,3,3,1,On-campus,No,42,12,Yes
19,Female,Yes,No,International,3.69,1124.0,24,2,2,Engineering,Full-time,15,Early Decision,Fall,$100k+,No,No,4823,No,3.78,2,1,1,91.2,8,4,2,2,0,At home,No,15,8,Yes
20,Female,No,No,Out-of-state,3.62,1419.0,23,2,2,Education,Full-time,15,Regular,Fall,<$30k,No,No,1220,No,4.0,32,0,0,90.9,4,1,1,2,1,Off-campus,No,32,0,No
17,Female,No,No,In-state,3.58,882.0,24,0,4,Engineering,Full-time,15,Regular,Fall,$100k+,Yes,Yes,15908,No,2.78,1,1,0,75.9,3,1,2,0,2,On-campus,No,6,20,No
23,Male,No,No,Out-of-state,4.0,1151.0,27,4,2,Business,Full-time,18,Regular,Fall,<$30k,Yes,No,7229,Yes,3.34,43,1,0,87.3,3,2,3,1,0,On-campus,No,36,11,No
18,Female,No,No,In-state,3.58,1283.0,21,3,3,Social Sciences,Full-time,12,Early Decision,Spring,<$30k,Yes,Yes,22403,No,2.91,19,2,0,62.2,17,2,4,7,2,Commuter,No,0,1,Yes
24,Male,Yes,No,Out-of-state,2.94,1153.0,29,2,1,Engineering,Full-time,15,Transfer,Fall,$30k-$60k,No,No,7109,No,2.24,120,1,1,77.4,0,2,1,0,4,Commuter,No,13,9,Yes
22,Male,Yes,No,In-state,3.56,939.0,20,4,4,Health Sciences,Full-time,18,Regular,Spring,<$30k,Yes,No,4422,No,3.48,120,0,0,54.7,5,5,0,5,3,Off-campus,No,3,20,No
21,Non-binary,No,No,International,2.5,837.0,29,2,4,Health Sciences,Full-time,15,Regular,Spring,$60k-$100k,Yes,Yes,16502,No,1.78,71,0,0,65.3,43,6,3,0,0,Commuter,No,24,16,No
20,Female,No,No,In-state,3.59,1343.0,24,2,0,Engineering,Full-time,15,Regular,Fall,<$30k,No,Yes,14699,Yes,2.9,1,0,0,94.7,44,6,4,3,3,On-campus,Yes,55,2,No
23,Female,Yes,No,In-state,4.0,1220.0,26,5,1,Education,Full-time,12,Transfer,Fall,$30k-$60k,Yes,Yes,4480,Yes,2.27,10,0,1,85.5,14,6,0,3,3,Commuter,No,9,19,No
23,Female,Yes,No,In-state,3.2,979.0,20,2,3,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,No,No,49766,No,3.34,17,0,1,55.6,8,4,7,1,0,On-campus,No,2,21,Yes
19,Male,No,No,Out-of-state,3.84,1233.0,17,3,4,Arts & Sciences,Full-time,18,Regular,Spring,<$30k,No,Yes,37384,Yes,3.35,60,3,0,84.2,9,4,1,1,1,On-campus,No,7,0,Yes
23,Female,No,No,Out-of-state,3.66,1288.0,18,1,7,Engineering,Full-time,12,Regular,Spring,$60k-$100k,Yes,No,1162,No,2.22,26,0,0,51.6,3,6,1,2,6,On-campus,No,6,27,Yes
25,Female,No,No,In-state,3.06,1055.0,25,2,2,Education,Part-time,9,Regular,Fall,$100k+,Yes,No,8535,No,2.76,70,0,1,79.8,15,3,3,1,3,Off-campus,No,1,17,No
17,Female,No,No,In-state,2.91,1204.0,29,4,4,Computer Science,Full-time,15,Regular,Fall,$60k-$100k,No,Yes,116050,No,3.7,8,0,0,70.8,6,2,2,0,1,On-campus,No,23,1,Yes
17,Female,Yes,Yes,Out-of-state,3.42,1246.0,26,6,1,Health Sciences,Full-time,15,Regular,Spring,$60k-$100k,No,No,35058,No,2.03,3,0,1,85.1,21,4,1,1,0,On-campus,No,0,1,No
18,Female,No,No,In-state,3.26,1106.0,24,4,0,Social Sciences,Full-time,12,Regular,Fall,$30k-$60k,No,No,9848,No,3.29,120,0,0,75.0,1,0,2,2,1,At home,No,6,18,No
21,Female,Yes,No,In-state,3.8,974.0,25,3,1,Engineering,Full-time,18,Early Decision,Fall,$30k-$60k,No,Yes,20901,Yes,2.97,82,0,0,80.9,3,5,4,1,0,On-campus,No,5,0,Yes
21,Male,Yes,Yes,In-state,2.63,1282.0,21,1,5,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,Yes,No,37090,No,2.37,11,1,0,84.6,1,2,1,1,5,On-campus,No,7,8,No
20,Female,Yes,No,In-state,3.84,1240.0,23,5,4,Business,Full-time,18,Regular,Fall,$100k+,Yes,No,1346,No,2.46,38,2,1,74.5,24,4,2,5,0,On-campus,No,6,10,Yes
21,Female,No,No,In-state,3.47,1007.0,17,3,2,Health Sciences,Full-time,18,Regular,Fall,$100k+,Yes,Yes,9781,Yes,2.43,1,0,0,42.1,2,1,0,3,1,On-campus,No,13,9,Yes
22,Female,No,No,In-state,2.84,1153.0,27,1,3,Business,Part-time,9,Early Decision,Fall,$30k-$60k,Yes,No,28192,No,2.7,117,2,0,61.4,12,4,0,1,2,On-campus,No,10,7,Yes
25,Female,Yes,No,Out-of-state,3.82,1184.0,30,3,3,Computer Science,Full-time,18,Regular,Spring,$30k-$60k,Yes,No,39672,No,2.51,87,0,0,92.3,4,8,1,2,0,On-campus,No,20,8,Yes
20,Female,Yes,No,In-state,2.86,1098.0,24,5,5,Arts & Sciences,Part-time,3,Regular,Fall,<$30k,Yes,Yes,2203,No,2.25,115,1,1,93.9,1,4,3,2,0,Off-campus,No,15,15,No
17,Female,No,No,In-state,4.0,1022.0,23,3,5,Engineering,Full-time,12,Regular,Spring,<$30k,Yes,Yes,11368,Yes,3.43,45,0,1,65.6,9,6,4,1,1,At home,Yes,16,9,No
23,Female,No,No,In-state,2.64,824.0,23,2,2,Computer Science,Full-time,18,Regular,Fall,$60k-$100k,Yes,Yes,9460,No,3.11,18,2,0,79.8,9,2,1,4,0,At home,No,0,21,No
17,Female,No,No,In-state,3.01,1338.0,17,2,3,Education,Full-time,15,Regular,Fall,$100k+,No,Yes,8051,Yes,2.37,38,2,2,66.0,3,4,2,1,4,At home,No,7,27,Yes
20,Female,No,Yes,Out-of-state,3.71,1234.0,22,3,5,Education,Full-time,15,Transfer,Fall,$60k-$100k,No,No,2999,No,2.18,58,0,1,77.6,6,5,1,1,1,Commuter,Yes,4,24,No
23,Male,No,No,In-state,3.19,1106.0,25,3,1,Health Sciences,Full-time,12,Regular,Fall,$60k-$100k,No,No,3307,No,2.86,54,0,1,87.6,9,2,2,2,3,Commuter,No,6,6,No
22,Female,Yes,No,In-state,3.04,1086.0,18,5,3,Computer Science,Full-time,15,Early Decision,Fall,$30k-$60k,No,No,14420,No,2.43,28,0,1,84.7,7,6,3,4,2,Off-campus,Yes,0,10,Yes
20,Female,No,Yes,In-state,3.27,1068.0,27,4,4,Social Sciences,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,5855,No,3.25,8,1,0,68.4,32,5,0,0,1,Off-campus,No,1,8,No
18,Male,No,No,Out-of-state,3.03,1106.0,22,3,3,Arts & Sciences,Full-time,18,Transfer,Spring,$30k-$60k,Yes,No,59,No,2.56,69,2,0,94.3,7,5,2,4,0,Off-campus,No,18,9,No
24,Male,No,No,In-state,3.34,1050.0,19,4,3,Health Sciences,Full-time,18,Regular,Fall,$30k-$60k,No,Yes,4968,Yes,3.32,19,0,0,58.5,8,2,0,0,1,Off-campus,No,48,4,Yes
17,Female,No,No,In-state,2.66,889.0,26,2,0,Computer Science,Full-time,12,Regular,Fall,$60k-$100k,No,Yes,39621,No,1.41,11,0,0,82.4,0,5,1,1,3,At home,No,20,4,No
20,Female,No,No,In-state,4.0,1372.0,23,6,5,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,Yes,No,44432,No,2.9,68,0,0,82.6,7,5,6,1,2,Commuter,No,12,0,No
21,Female,Yes,No,Out-of-state,3.49,1193.0,17,1,3,Health Sciences,Full-time,18,Regular,Fall,$60k-$100k,Yes,Yes,12535,Yes,3.71,41,0,1,60.8,16,3,2,3,1,Off-campus,Yes,7,14,Yes
19,Female,No,Yes,In-state,3.35,1034.0,25,5,5,Computer Science,Full-time,18,Regular,Fall,<$30k,Yes,Yes,8263,No,3.73,68,0,1,89.7,8,3,0,0,2,On-campus,No,4,23,No
19,Female,Yes,No,In-state,2.85,1072.0,16,4,1,Business,Full-time,15,Transfer,Spring,$60k-$100k,Yes,No,1283,Yes,3.83,37,1,1,83.9,0,4,0,1,1,Off-campus,No,12,7,No
17,Male,No,No,Out-of-state,3.35,1240.0,22,3,1,Computer Science,Part-time,9,Regular,Fall,<$30k,Yes,No,2664,No,3.24,3,1,0,64.6,3,0,0,4,0,At home,Yes,6,7,No
